cylinders,displacement,horsepower,weight,acceleration,model_year,origin,class
4.0,107.0,90.0,2430.0,14.5,70.0,2.0,24.0
8.0,304.0,193.0,4732.0,18.5,70.0,1.0,9.0
4.0,91.0,67.0,1965.0,15.0,82.0,3.0,38.0
8.0,429.0,208.0,4633.0,11.0,72.0,1.0,11.0
4.0,120.0,97.0,2506.0,14.5,72.0,3.0,23.0
4.0,97.0,78.0,2300.0,14.5,74.0,2.0,26.0
8.0,304.0,150.0,4257.0,15.5,74.0,1.0,14.0
6.0,231.0,115.0,3245.0,15.4,79.0,1.0,21.5
4.0,97.0,92.0,2288.0,17.0,72.0,3.0,28.0
4.0,98.0,60.0,2164.0,22.1,76.0,1.0,24.5
4.0,89.0,62.0,2050.0,17.3,81.0,3.0,37.7
8.0,318.0,150.0,4457.0,13.5,74.0,1.0,14.0
4.0,79.0,67.0,1963.0,15.5,74.0,2.0,26.0
8.0,350.0,145.0,4055.0,12.0,76.0,1.0,13.0
8.0,350.0,155.0,4502.0,13.5,72.0,1.0,13.0
4.0,110.0,87.0,2672.0,17.5,70.0,2.0,25.0
4.0,140.0,75.0,2542.0,17.0,74.0,1.0,25.0
8.0,260.0,110.0,3365.0,15.5,78.0,1.0,19.9
5.0,121.0,67.0,2950.0,19.9,80.0,2.0,36.4
4.0,86.0,64.0,1875.0,16.4,81.0,1.0,39.0
6.0,258.0,110.0,3632.0,18.0,74.0,1.0,16.0
8.0,318.0,140.0,3735.0,13.2,78.0,1.0,19.4
8.0,400.0,170.0,4746.0,12.0,71.0,1.0,13.0
4.0,122.0,86.0,2226.0,16.5,72.0,1.0,21.0
8.0,302.0,130.0,3870.0,15.0,76.0,1.0,13.0
4.0,90.0,48.0,2335.0,23.7,80.0,2.0,43.4
4.0,86.0,65.0,1975.0,15.2,79.0,3.0,34.1
4.0,97.0,67.0,2065.0,17.8,81.0,3.0,32.3
6.0,225.0,95.0,3264.0,16.0,75.0,1.0,19.0
6.0,250.0,100.0,3781.0,17.0,74.0,1.0,16.0
4.0,140.0,89.0,2755.0,15.8,77.0,1.0,25.5
6.0,250.0,110.0,3645.0,16.2,76.0,1.0,18.5
6.0,250.0,88.0,3139.0,14.5,71.0,1.0,18.0
4.0,140.0,86.0,2790.0,15.6,82.0,1.0,27.0
8.0,302.0,140.0,4141.0,14.0,74.0,1.0,16.0
8.0,350.0,180.0,3664.0,11.0,73.0,1.0,11.0
8.0,318.0,150.0,3940.0,13.2,76.0,1.0,13.0
4.0,89.0,71.0,1925.0,14.0,79.0,2.0,31.9
4.0,97.0,46.0,1950.0,21.0,73.0,2.0,26.0
8.0,400.0,150.0,3761.0,9.5,70.0,1.0,15.0
8.0,351.0,138.0,3955.0,13.2,79.0,1.0,16.5
4.0,119.0,82.0,2720.0,19.4,82.0,1.0,31.0
8.0,400.0,175.0,4385.0,12.0,72.0,1.0,14.0
6.0,198.0,95.0,3102.0,16.5,74.0,1.0,20.0
4.0,101.0,83.0,2202.0,15.3,76.0,2.0,27.0
6.0,200.0,85.0,2990.0,18.2,79.0,1.0,19.8
8.0,360.0,215.0,4615.0,14.0,70.0,1.0,10.0
4.0,140.0,92.0,2572.0,14.9,76.0,1.0,25.0
4.0,98.0,79.0,2255.0,17.7,76.0,1.0,26.0
4.0,97.0,46.0,1835.0,20.5,70.0,2.0,26.0
8.0,318.0,135.0,3830.0,15.2,79.0,1.0,18.2
6.0,146.0,97.0,2815.0,14.5,77.0,3.0,22.0
4.0,116.0,75.0,2158.0,15.5,73.0,2.0,24.0
6.0,232.0,100.0,3288.0,15.5,71.0,1.0,18.0
4.0,98.0,68.0,2155.0,16.5,78.0,1.0,30.0
6.0,199.0,90.0,2648.0,15.0,70.0,1.0,21.0
4.0,121.0,115.0,2795.0,15.7,78.0,2.0,21.6
6.0,225.0,105.0,3439.0,15.5,71.0,1.0,16.0
8.0,350.0,170.0,4165.0,11.4,77.0,1.0,15.5
6.0,250.0,88.0,3302.0,15.5,71.0,1.0,19.0
4.0,151.0,88.0,2740.0,16.0,77.0,1.0,24.5
4.0,116.0,90.0,2123.0,14.0,71.0,2.0,28.0
4.0,68.0,49.0,1867.0,19.5,73.0,2.0,29.0
8.0,304.0,150.0,3892.0,12.5,72.0,1.0,15.0
8.0,304.0,150.0,3672.0,11.5,72.0,1.0,17.0
4.0,98.0,83.0,2219.0,16.5,74.0,2.0,29.0
8.0,400.0,167.0,4906.0,12.5,73.0,1.0,12.0
4.0,120.0,88.0,3270.0,21.9,76.0,2.0,19.0
4.0,120.0,79.0,2625.0,18.6,82.0,1.0,28.0
6.0,168.0,116.0,2900.0,12.6,81.0,3.0,25.4
4.0,79.0,58.0,1825.0,18.6,77.0,2.0,36.0
4.0,107.0,75.0,2205.0,14.5,82.0,3.0,36.0
3.0,70.0,97.0,2330.0,13.5,72.0,3.0,19.0
6.0,250.0,100.0,3336.0,17.0,74.0,1.0,15.0
4.0,119.0,92.0,2434.0,15.0,80.0,3.0,37.0
6.0,225.0,100.0,3233.0,15.4,76.0,1.0,22.0
4.0,98.0,68.0,2135.0,16.6,78.0,3.0,29.5
6.0,250.0,88.0,3021.0,16.5,73.0,1.0,18.0
4.0,79.0,70.0,2074.0,19.5,71.0,2.0,30.0
8.0,440.0,215.0,4735.0,11.0,73.0,1.0,13.0
8.0,400.0,190.0,4422.0,12.5,72.0,1.0,13.0
4.0,105.0,75.0,2230.0,14.5,78.0,1.0,30.9
6.0,225.0,100.0,3430.0,17.2,78.0,1.0,20.5
4.0,140.0,88.0,2870.0,18.1,80.0,1.0,26.4
6.0,232.0,100.0,2789.0,15.0,73.0,1.0,18.0
8.0,350.0,180.0,4499.0,12.5,73.0,1.0,12.0
4.0,91.0,69.0,2130.0,14.7,79.0,2.0,37.3
4.0,156.0,105.0,2800.0,14.4,80.0,1.0,27.9
6.0,232.0,100.0,2634.0,13.0,71.0,1.0,19.0
4.0,122.0,96.0,2300.0,15.5,77.0,1.0,25.5
8.0,302.0,139.0,3205.0,11.2,78.0,1.0,18.1
4.0,97.0,71.0,1825.0,12.2,76.0,2.0,29.5
8.0,350.0,125.0,3900.0,17.4,79.0,1.0,23.0
4.0,105.0,70.0,2200.0,13.2,79.0,1.0,34.2
4.0,156.0,105.0,2745.0,16.7,78.0,1.0,23.2
6.0,155.0,107.0,2472.0,14.0,73.0,1.0,21.0
4.0,122.0,88.0,2500.0,15.1,80.0,2.0,35.0
6.0,171.0,97.0,2984.0,14.5,75.0,1.0,18.0
4.0,130.0,102.0,3150.0,15.7,76.0,2.0,20.0
8.0,307.0,130.0,4098.0,14.0,72.0,1.0,13.0
